Actual Track Score,CNN Prediction,Random Forest Prediction,XGBoost Prediction
35.3,29.974787,584.7849999999978,670.82404
91.5,78.60735,433.67146378968135,495.46368
34.9,42.337856,479.51199999999835,520.7608
29.6,28.606447,371.99408333333224,435.8237
30.2,17.473131,349.1594166666677,368.2782
121.9,81.20421,370.7663333333325,406.81427
20.5,8.602869,410.9103333333341,401.35593
30.1,31.459175,347.5963333333343,340.67438
59.3,37.794052,253.83075762809978,305.49493
31.9,34.26186,317.3033333333349,309.92493
26.8,25.347599,204.82413131313083,296.19943
19.9,30.986784,250.6442525234026,260.2936
80.5,84.20654,301.547333333334,314.85443
30.5,32.380733,348.0303333333324,314.76306
23.7,34.599514,207.69895411266006,201.31352
22.2,19.645216,276.15166666666664,293.8714
23.3,25.871273,260.16644444444444,280.62042
23.1,19.276176,322.0950000000002,294.95038
35.2,33.011524,268.2437526455026,302.77164
20.1,29.501085,202.58045552553503,257.22784
35.9,45.864136,197.47393647482247,195.90788
21.0,28.975588,229.30055185185128,247.80046
22.8,26.704296,210.3810525697234,216.08311
29.8,27.669203,269.7990833333331,240.07228
26.0,37.84467,198.63590753900698,209.7495
25.9,25.353666,183.27675436507934,205.31287
37.5,35.636745,255.72066666666757,226.74422
20.5,22.525122,211.8603333333326,212.08894
21.2,19.424149,191.80602504652197,214.09628
37.9,37.227325,197.3128308964177,205.61998
24.9,26.47235,247.10566666666568,210.86212
30.5,30.454235,175.32625837793103,181.81248
47.2,54.93492,170.88349103472774,150.16553
29.1,33.775158,161.11180855775055,182.13698
30.9,34.84535,162.3209858974359,200.15622
31.8,36.27653,169.44213737161468,184.5557
94.5,54.190144,195.25699074074063,185.543
70.0,73.11228,164.79708772841684,177.866
39.3,21.65337,170.75019228420862,187.62225
105.8,40.97734,144.33769055124694,145.04846
32.0,18.819338,166.69999656289176,179.93669
28.3,30.856344,141.21855636638173,176.96814
107.1,70.76724,167.73023943638023,154.6491
23.6,22.80251,184.09323485449676,211.17828
19.6,31.643026,172.9296759259259,176.57426
47.7,55.19675,189.32765213341938,191.26785
36.3,49.603306,127.44794291057161,138.76952
32.4,39.108635,154.00661376938447,162.81088
153.6,98.76447,150.1578572715679,166.96744
22.1,27.13573,143.9418074971326,167.22821
35.4,37.424152,152.59539126984149,155.91026
23.7,33.176777,139.3887169630649,146.47205
27.1,29.99257,160.25440232683945,159.67104
50.5,130.56976,161.74516933130698,191.31496
83.0,60.95174,150.19762346223496,159.40517
47.1,45.365078,149.41214089244062,161.2524
166.5,74.81528,154.54174921535815,169.23785
21.9,17.659754,135.64487405802183,162.55193
48.2,38.706844,156.13766639373728,154.377
22.2,24.642523,145.36462831737498,156.88597
25.8,26.916128,137.32400478405614,155.70059
105.2,111.146545,131.47676033739444,127.01926
33.5,28.120375,130.3690665933534,118.54701
82.5,80.41522,169.81710028688,174.50851
33.6,32.654476,138.2564415496542,121.97574
175.0,145.3281,134.6893032664204,125.42612
47.5,49.954082,126.2607862306941,120.59211
26.3,28.616964,157.84611660880483,138.04645
24.8,20.212418,134.18255232079002,111.86735
84.6,51.392063,84.59902936612143,99.48873
29.8,30.04565,130.20842810841714,157.18616
23.8,31.091127,129.0873166546413,112.19225
22.6,31.241632,139.61261489436504,147.03537
83.8,43.177006,135.9953540358387,136.21773
38.0,40.233917,115.42512981148316,150.04251
22.7,29.309834,106.58767132381082,113.94329
53.9,60.2326,133.6864094496088,141.48833
88.6,81.46878,133.39606450216448,155.69994
72.4,38.3048,128.26202726931243,139.89937
30.8,29.492214,114.9922034929709,120.51621
21.9,23.325884,117.42626248690766,97.083725
57.0,48.574657,130.42222362207028,145.43901
23.0,24.220633,115.31834676818073,130.16931
24.4,13.81851,139.68111144816496,158.78769
61.7,48.11915,118.28115094433119,116.23933
26.0,28.77616,121.30446381584612,125.33354
109.1,90.077225,123.69232711312375,122.51093
22.4,25.393007,132.8271607263604,124.63213
80.1,70.37328,104.09865621444753,91.38681
82.4,62.857937,129.32060012312957,125.816055
24.2,28.504618,139.82523624555722,128.73425
27.4,35.01198,96.0415837899513,79.0804
21.2,21.45055,108.32802467329527,99.51928
21.1,29.691864,127.71884422003976,134.03925
21.2,29.251463,99.31861218797115,100.66392
52.4,48.50622,125.21549659493796,132.99214
97.5,67.18344,134.38482726782988,132.63997
166.2,112.0462,103.48927708410949,109.13788
44.2,35.5879,123.19657022116732,122.600136
55.6,37.83387,115.5453111404802,117.67353
31.4,30.830736,101.65012279288997,107.46336
96.2,27.273657,125.80385148492572,130.39189
95.7,73.87087,112.06732856904365,113.65396
22.2,41.010967,119.63547257151203,121.74595
20.3,17.354094,114.41368600739273,108.38526
